compound_class	n_drugs	mean_mae	mean_signed_error	mean_pearson	median_target_count
Transporter inhibitors	3	1.1563383181556437	-0.8842484220994574	0.2677846350989045	22.0
Ion channel inhibitors	1	0.6603396088909367	-0.6345599491795632	0.1665310568401197	160.0
Cytosolic inhibitors	1	0.613140669363463	-0.4110517070071758	0.2537827674478707	62.0
Kinase inhibitors	10	0.57376277764413	-0.4677261369486243	0.21253096839774904	133.0
Epigenetic regulator inhibitors	1	0.2970704913891794	0.0169123170657946	0.2452465621360266	152.0
