potency_bin	n	pearson_r	spearman_r	mae	mean_signed_error	true_mean	pred_mean
<=5.5	4027.0	0.025653578300043365	0.027821824824061755	0.5192921974579027	-0.31596092473500226	5.124621072758877	4.8086601480238755
5.5-6.5	862.0	0.26675821272456074	0.2597594863893271	0.7676071732904348	-0.6624683653825079	5.991961456032482	5.329493090649975
6.5-7.5	1100.0	0.3199860183598885	0.3309882008997457	0.8441863466619802	-0.7203580677907455	6.988092384363636	6.267734316572891
>7.5	524.0	0.22866328050960016	0.18218951663645652	1.1134017070412556	-1.1131265136205544	7.992000298854962	6.878873785234407
