CELL_LINE_NAME	n	nearest_train_cosine	mae	rmse	mean_prediction_std	mean_signed_error
sjsa1	13	0.9321693778038025	0.4969041082379197	0.5869301394352355	0.47958562	-0.28280750941611277
sw1573	12	0.9322311878204346	0.8934682445526555	1.0481831856098038	0.57669234	-0.6173776341609482
snu1	13	0.9322445392608643	0.6542933179958534	0.8171575277141586	0.76871043	-0.6542933179958534
rt4	15	0.932262659072876	0.7605243442054762	0.9324477437240195	0.5284516	-0.6509692894224243
hh	15	0.9322713017463684	0.5976530710473731	0.7300227733117011	0.45001906	-0.5471061684695968
tc71	15	0.9323287606239319	0.6616755058439596	0.8277988703479653	0.64173245	-0.47499647059580696
karpas299	15	0.9323303699493408	0.4510648984498454	0.5199379334273135	0.4384635	-0.4510648984498454
hel9217	15	0.9323801398277283	0.3081617642301883	0.3828784925077275	0.42505077	-0.1334662119671006
kmm1	16	0.932422935962677	0.7909017529000383	0.9308869026167617	0.7645362	-0.512432398389731
bl41	16	0.9325156211853027	0.4931997744211423	0.7065598483411449	0.46249717	-0.37323052718689503
pfeiffer	15	0.9325255751609802	0.6816848884570934	0.8640392789851483	0.48181316	-0.32652840036202896
ociaml2	16	0.9325578808784485	0.881185148634025	1.0780223959970365	0.5362457	-0.6677461063056562
ci1	16	0.9325864911079407	0.6401262358094151	0.8718770378039746	0.6119161	-0.5062389899437828
hec251	16	0.9326155781745911	0.37010124281048784	0.5271669790480163	0.9975474	-0.211316353827715
u118mg	15	0.9326462745666504	0.5862149589158171	0.7189955589238789	0.4206181	-0.4838307758640776
wm115	12	0.9326480627059937	0.4648647247760072	0.5374594110874495	0.59575284	-0.28745654006895766
hcc827	13	0.932721734046936	0.7697858765825144	0.9769095719318995	0.56514394	-0.5897814326041819
bl70	16	0.9327967762947083	0.681422628316067	0.8574401112803869	0.5743721	-0.5729643933889594
a2780	16	0.9328184723854065	0.6970122049997021	0.8802107055247138	0.652813	-0.6840598173906667
sudhl10	15	0.932848334312439	0.6659321003884092	0.8779350601709233	0.5589229	-0.505081945558047
