applicability_bin	n	mean_nearest_train_cosine	mae	mean_prediction_std	mean_signed_error
Q1 lowest	1316	0.92961680082927	0.6766294921631617	0.61561805	-0.5233060663740493
Q2	1303	0.9335204692227238	0.6559181888744532	0.63016206	-0.5075857339338129
Q3	1297	0.9354152524112828	0.6548216100914777	0.6066621	-0.47715633077011593
Q4	1297	0.9370831672558898	0.6457498667186573	0.5961128	-0.49955350367260565
Q5 highest	1300	0.9396816154168203	0.640728851178633	0.56716335	-0.4632668312081534
