uncertainty_bin	n	mean_prediction_std	mae	rmse	interval_coverage_90	mean_signed_error
Q1 lowest	1303	0.3211596	0.5570389976755219	0.6953655381780912	0.5525709900230238	-0.5063830445540002
Q2	1302	0.46759892	0.5323747394892541	0.6766298502598951	0.7649769585253456	-0.4478968000513161
Q3	1303	0.58138037	0.5871974446043158	0.7546212174601729	0.8250191864927091	-0.44590669406051175
Q4	1302	0.7145437	0.7231179558990977	0.916929667709854	0.7741935483870968	-0.49664561381556804
Q5 highest	1303	0.9312407	0.8743691097918947	1.0695968131517943	0.7689946277820414	-0.5744180953472173
