subgroup_type	subgroup_label	n	raw_interval_coverage_90	conformal_interval_coverage_90	raw_mean_interval_width_90	conformal_mean_interval_width_90	mae	mean_signed_error
drug	crizotinib	434	0.6658986175115207	0.29493087557603687	1.631335408759007	0.9594155071170245	0.6372407524784695	-0.6240473634570215
drug	lapatinib	434	0.7073732718894009	0.41013824884792627	1.839946264934979	1.0711937227849628	0.5916406191476138	-0.5890162509497217
drug	pd0325901	434	0.7764976958525346	0.3778801843317972	2.338386406821589	1.3438005248156164	0.7961513839162416	0.18292588637994334
drug	saracatinib	434	0.9331797235023042	0.8018433179723502	1.5207228294440678	0.9004117838062807	0.2643313631099499	-0.23362647313894225
drug	topotecan	434	0.847926267281106	0.5852534562211982	2.4577816349844777	1.4457896955241534	0.6648649774380183	-0.4761151703683782
drug	erlotinib	433	0.8729792147806005	0.651270207852194	1.415793755037955	0.8444297564484161	0.3538042131542784	-0.3490465279788255
drug	paclitaxel	433	0.48267898383371827	0.25635103926096997	2.4636527004197895	1.530007948556438	1.141046426646722	-0.513526542247395
drug	selumetinib	433	0.8337182448036952	0.6974595842956121	1.8898239735367666	1.1295794726415838	0.5273592283593038	-0.5091505280232304
drug	sorafenib	433	0.8498845265588915	0.6605080831408776	1.4866337860153673	0.888923470943736	0.38298201958742634	-0.3743631129000228
drug	tanespimycin	433	0.836027713625866	0.5796766743648961	2.213158333329075	1.3221034895850035	0.6131406698246661	-0.4110517054572353
drug	panobinostat	432	0.9305555555555556	0.7870370370370371	1.712849029291559	1.003202952520378	0.2970704806853084	0.01691231970666711
drug	plx4720	426	0.19718309859154928	0.023474178403755867	1.4688402388577169	0.8701569016119931	1.1725492675221727	-1.1725492675221727
drug	palbociclib	368	0.8152173913043478	0.4891304347826087	2.130426067729359	1.232215030796245	0.6408407242388855	-0.6390095105581018
drug	nilotinib	354	0.7768361581920904	0.3813559322033898	1.9673109812251588	1.1730043273533577	0.6603396051043086	-0.6345599442194048
drug	pha665752	322	0.8695652173913043	0.5372670807453416	1.2828674511139435	0.7687639345726227	0.370728197438473	-0.3693782179799468
drug	irinotecan	276	0.2753623188405797	0.057971014492753624	2.492885887320491	1.4678318194925881	1.663103538733856	-1.663103538733856
potency_bin	<=5.5	4027	0.7891730816985348	0.5214800099329525	1.710298400674767	1.008210673941372	0.5192921967202837	-0.31596092439432216
