regime_name	fold	model_name	train_rows	test_rows	test_drugs	test_cell_lines	mae	rmse	mse	pearson_r	spearman_r	r_squared
double_cold_start	0	ols	214639	13924	81	198	1.0154140170300705	1.284378532944915	1.6496282158897326	0.3246996400215294	0.2430732717565953	-0.23396192592687437
double_cold_start	1	ols	216890	13360	81	196	0.9222068386593983	1.212924516641164	1.4711858830692015	0.2941152681853585	0.30116721088905396	-0.1471592678678988
double_cold_start	2	ols	215937	13574	81	197	0.9180191831080609	1.1672679159232646	1.3625143875438417	0.4792859579548021	0.46654481861447394	0.1373152637317675
double_cold_start	3	ols	216547	13515	80	197	0.8518460855147668	1.062296115346842	1.1284730366809912	0.39035299655364797	0.35401335278644025	-0.22958706859315714
double_cold_start	4	ols	216945	13302	80	197	0.9745885981708914	1.2357389555912388	1.5270507663657258	0.35172332896210384	0.2940522623273567	-0.0742544412777928
